	e7.5	e7.5	e7.5	e7.5	e7.5
CEBPA_MOUSE.H11MO.0.A	2.663408671196718e-4	2.663408671196718e-4	2.663408671196718e-4	2.663408671196718e-4	2.663408671196718e-4
CEBPB_MOUSE.H11MO.0.A	2.3812574469418208e-4	2.3812574469418208e-4	2.3812574469418208e-4	2.3812574469418208e-4	2.3812574469418208e-4
CEBPD_MOUSE.H11MO.0.B	2.05068586108869e-4	2.05068586108869e-4	2.05068586108869e-4	2.05068586108869e-4	2.05068586108869e-4
CEBPE_MOUSE.H11MO.0.A	1.3120981890905108e-4	1.3120981890905108e-4	1.3120981890905108e-4	1.3120981890905108e-4	1.3120981890905108e-4
CEBPG_MOUSE.H11MO.0.B	2.7328604405555643e-4	2.7328604405555643e-4	2.7328604405555643e-4	2.7328604405555643e-4	2.7328604405555643e-4
CEBPZ_MOUSE.H11MO.0.D	1.808987660993728e-3	1.808987660993728e-3	1.808987660993728e-3	1.808987660993728e-3	1.808987660993728e-3
CLOCK_MOUSE.H11MO.0.C	4.812712730560334e-4	4.812712730560334e-4	4.812712730560334e-4	4.812712730560334e-4	4.812712730560334e-4
COE1_MOUSE.H11MO.0.A	8.650614308457821e-4	8.650614308457821e-4	8.650614308457821e-4	8.650614308457821e-4	8.650614308457821e-4
COT1_MOUSE.H11MO.0.B	6.229139011739273e-4	6.229139011739273e-4	6.229139011739273e-4	6.229139011739273e-4	6.229139011739273e-4
COT1_MOUSE.H11MO.1.C	5.631183116069647e-4	5.631183116069647e-4	5.631183116069647e-4	5.631183116069647e-4	5.631183116069647e-4
COT2_MOUSE.H11MO.0.A	7.097764756612491e-4	7.097764756612491e-4	7.097764756612491e-4	7.097764756612491e-4	7.097764756612491e-4
COT2_MOUSE.H11MO.1.B	7.39716158657534e-4	7.39716158657534e-4	7.39716158657534e-4	7.39716158657534e-4	7.39716158657534e-4
COT2_MOUSE.H11MO.2.B	1.0319065215933095e-3	1.0319065215933095e-3	1.0319065215933095e-3	1.0319065215933095e-3	1.0319065215933095e-3
CREB1_MOUSE.H11MO.0.A	1.0113143042270846e-3	1.0113143042270846e-3	1.0113143042270846e-3	1.0113143042270846e-3	1.0113143042270846e-3
CREM_MOUSE.H11MO.0.C	8.951378094189934e-4	8.951378094189934e-4	8.951378094189934e-4	8.951378094189934e-4	8.951378094189934e-4
CRX_MOUSE.H11MO.0.A	1.5994724961719735e-4	1.5994724961719735e-4	1.5994724961719735e-4	1.5994724961719735e-4	1.5994724961719735e-4
CTCF_MOUSE.H11MO.0.A	3.5848386571195657e-3	3.5848386571195657e-3	3.5848386571195657e-3	3.5848386571195657e-3	3.5848386571195657e-3
CTCFL_MOUSE.H11MO.0.A	3.483743603040053e-3	3.483743603040053e-3	3.483743603040053e-3	3.483743603040053e-3	3.483743603040053e-3
CUX1_MOUSE.H11MO.0.C	1.3283181184260774e-4	1.3283181184260774e-4	1.3283181184260774e-4	1.3283181184260774e-4	1.3283181184260774e-4
CUX2_MOUSE.H11MO.0.C	1.2468086040112907e-4	1.2468086040112907e-4	1.2468086040112907e-4	1.2468086040112907e-4	1.2468086040112907e-4
CXXC1_MOUSE.H11MO.0.D	2.4983654871274015e-4	2.4983654871274015e-4	2.4983654871274015e-4	2.4983654871274015e-4	2.4983654871274015e-4
DBP_MOUSE.H11MO.0.B	1.882635483251901e-4	1.882635483251901e-4	1.882635483251901e-4	1.882635483251901e-4	1.882635483251901e-4
DDIT3_MOUSE.H11MO.0.C	3.4166959775217963e-4	3.4166959775217963e-4	3.4166959775217963e-4	3.4166959775217963e-4	3.4166959775217963e-4
DLX2_MOUSE.H11MO.0.D	6.80978737265228e-5	6.80978737265228e-5	6.80978737265228e-5	6.80978737265228e-5	6.80978737265228e-5
DLX3_MOUSE.H11MO.0.C	8.557954720604854e-5	8.557954720604854e-5	8.557954720604854e-5	8.557954720604854e-5	8.557954720604854e-5
DLX5_MOUSE.H11MO.0.C	1.0484271490399158e-4	1.0484271490399158e-4	1.0484271490399158e-4	1.0484271490399158e-4	1.0484271490399158e-4
DMRT1_MOUSE.H11MO.0.C	3.547739408816729e-4	3.547739408816729e-4	3.547739408816729e-4	3.547739408816729e-4	3.547739408816729e-4
DMRTB_MOUSE.H11MO.0.C	2.769398947169098e-4	2.769398947169098e-4	2.769398947169098e-4	2.769398947169098e-4	2.769398947169098e-4
E2F1_MOUSE.H11MO.0.A	2.602068944210635e-3	2.602068944210635e-3	2.602068944210635e-3	2.602068944210635e-3	2.602068944210635e-3
E2F2_MOUSE.H11MO.0.B	4.634019210092736e-4	4.634019210092736e-4	4.634019210092736e-4	4.634019210092736e-4	4.634019210092736e-4
E2F3_MOUSE.H11MO.0.A	1.1341595188362414e-3	1.1341595188362414e-3	1.1341595188362414e-3	1.1341595188362414e-3	1.1341595188362414e-3
E2F4_MOUSE.H11MO.0.A	3.26294146283771e-3	3.26294146283771e-3	3.26294146283771e-3	3.26294146283771e-3	3.26294146283771e-3
E2F4_MOUSE.H11MO.1.A	5.071937639623016e-4	5.071937639623016e-4	5.071937639623016e-4	5.071937639623016e-4	5.071937639623016e-4
E2F5_MOUSE.H11MO.0.B	2.4894060441660716e-4	2.4894060441660716e-4	2.4894060441660716e-4	2.4894060441660716e-4	2.4894060441660716e-4
E2F6_MOUSE.H11MO.0.A	1.3384712269468445e-3	1.3384712269468445e-3	1.3384712269468445e-3	1.3384712269468445e-3	1.3384712269468445e-3
E2F7_MOUSE.H11MO.0.C	1.8863684477222974e-3	1.8863684477222974e-3	1.8863684477222974e-3	1.8863684477222974e-3	1.8863684477222974e-3
E4F1_MOUSE.H11MO.0.D	6.93985656744457e-4	6.93985656744457e-4	6.93985656744457e-4	6.93985656744457e-4	6.93985656744457e-4
EGR1_MOUSE.H11MO.0.A	2.2343566525236222e-3	2.2343566525236222e-3	2.2343566525236222e-3	2.2343566525236222e-3	2.2343566525236222e-3
EGR2_MOUSE.H11MO.0.A	2.0387368805209615e-3	2.0387368805209615e-3	2.0387368805209615e-3	2.0387368805209615e-3	2.0387368805209615e-3
EGR2_MOUSE.H11MO.1.A	2.5180604950974165e-3	2.5180604950974165e-3	2.5180604950974165e-3	2.5180604950974165e-3	2.5180604950974165e-3
EGR3_MOUSE.H11MO.0.D	5.087065648419686e-4	5.087065648419686e-4	5.087065648419686e-4	5.087065648419686e-4	5.087065648419686e-4
