	e7.5	e7.5	e7.5	e7.5	e7.5
BATF_MOUSE.H11MO.0.A	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4
BATF_MOUSE.H11MO.1.A	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4
BCL6_MOUSE.H11MO.0.A	8.741258741258306e-4	8.741258741258306e-4	8.741258741258306e-4	8.741258741258306e-4	8.741258741258306e-4
BHA15_MOUSE.H11MO.0.A	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4
BHE40_MOUSE.H11MO.0.A	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3
BHE41_MOUSE.H11MO.0.D	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4
BMAL1_MOUSE.H11MO.0.A	1.3883175647881885e-3	1.3883175647881885e-3	1.3883175647881885e-3	1.3883175647881885e-3	1.3883175647881885e-3
BRAC_MOUSE.H11MO.0.B	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3
BRAC_MOUSE.H11MO.1.C	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3
BRCA1_MOUSE.H11MO.0.D	4.93624023035788e-3	4.93624023035788e-3	4.93624023035788e-3	4.93624023035788e-3	4.93624023035788e-3
CDC5L_MOUSE.H11MO.0.D	3.362813656931307e-2	3.362813656931307e-2	3.362813656931307e-2	3.362813656931307e-2	3.362813656931307e-2
CDX1_MOUSE.H11MO.0.C	1.593994241053065e-2	1.593994241053065e-2	1.593994241053065e-2	1.593994241053065e-2	1.593994241053065e-2
CDX2_MOUSE.H11MO.0.A	2.262443438914019e-3	2.262443438914019e-3	2.262443438914019e-3	2.262443438914019e-3	2.262443438914019e-3
CDX4_MOUSE.H11MO.0.A	1.7174002468120064e-2	1.7174002468120064e-2	1.7174002468120064e-2	1.7174002468120064e-2	1.7174002468120064e-2
CEBPA_MOUSE.H11MO.0.A	5.758946935417564e-3	5.758946935417564e-3	5.758946935417564e-3	5.758946935417564e-3	5.758946935417564e-3
CEBPB_MOUSE.H11MO.0.A	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3
CEBPD_MOUSE.H11MO.0.B	7.250102838338157e-3	7.250102838338157e-3	7.250102838338157e-3	7.250102838338157e-3	7.250102838338157e-3
CEBPE_MOUSE.H11MO.0.A	1.4037433155080214e-2	1.4037433155080214e-2	1.4037433155080214e-2	1.4037433155080214e-2	1.4037433155080214e-2
CEBPG_MOUSE.H11MO.0.B	5.707527766351306e-3	5.707527766351306e-3	5.707527766351306e-3	5.707527766351306e-3	5.707527766351306e-3
CEBPZ_MOUSE.H11MO.0.D	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
CLOCK_MOUSE.H11MO.0.C	1.7996709173180303e-3	1.7996709173180303e-3	1.7996709173180303e-3	1.7996709173180303e-3	1.7996709173180303e-3
COE1_MOUSE.H11MO.0.A	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4
COT1_MOUSE.H11MO.0.B	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3
COT1_MOUSE.H11MO.1.C	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3
COT2_MOUSE.H11MO.0.A	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4
COT2_MOUSE.H11MO.1.B	6.170300287947628e-4	6.170300287947628e-4	6.170300287947628e-4	6.170300287947628e-4	6.170300287947628e-4
COT2_MOUSE.H11MO.2.B	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4
CREB1_MOUSE.H11MO.0.A	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4
CREM_MOUSE.H11MO.0.C	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4
CRX_MOUSE.H11MO.0.A	1.0438091320444265e-2	1.0438091320444265e-2	1.0438091320444265e-2	1.0438091320444265e-2	1.0438091320444265e-2
CTCF_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
CTCFL_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
CUX1_MOUSE.H11MO.0.C	1.3728918140682889e-2	1.3728918140682889e-2	1.3728918140682889e-2	1.3728918140682889e-2	1.3728918140682889e-2
CUX2_MOUSE.H11MO.0.C	1.5631427396133324e-2	1.5631427396133324e-2	1.5631427396133324e-2	1.5631427396133324e-2	1.5631427396133324e-2
CXXC1_MOUSE.H11MO.0.D	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3
DBP_MOUSE.H11MO.0.B	8.227067050596504e-3	8.227067050596504e-3	8.227067050596504e-3	8.227067050596504e-3	8.227067050596504e-3
DDIT3_MOUSE.H11MO.0.C	4.370629370629375e-3	4.370629370629375e-3	4.370629370629375e-3	4.370629370629375e-3	4.370629370629375e-3
DLX2_MOUSE.H11MO.0.D	8.196215549156727e-2	8.196215549156727e-2	8.196215549156727e-2	8.196215549156727e-2	8.196215549156727e-2
DLX3_MOUSE.H11MO.0.C	3.594199917729335e-2	3.594199917729335e-2	3.594199917729335e-2	3.594199917729335e-2	3.594199917729335e-2
DLX5_MOUSE.H11MO.0.C	2.175030851501436e-2	2.175030851501436e-2	2.175030851501436e-2	2.175030851501436e-2	2.175030851501436e-2
DMRT1_MOUSE.H11MO.0.C	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3
DMRTB_MOUSE.H11MO.0.C	5.60468942821879e-3	5.60468942821879e-3	5.60468942821879e-3	5.60468942821879e-3	5.60468942821879e-3
E2F1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
E2F2_MOUSE.H11MO.0.B	2.056766762649098e-3	2.056766762649098e-3	2.056766762649098e-3	2.056766762649098e-3	2.056766762649098e-3
E2F3_MOUSE.H11MO.0.A	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4
E2F4_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
E2F4_MOUSE.H11MO.1.A	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3
E2F5_MOUSE.H11MO.0.B	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3
E2F6_MOUSE.H11MO.0.A	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4
E2F7_MOUSE.H11MO.0.C	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
E4F1_MOUSE.H11MO.0.D	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4	7.198683669271677e-4
EGR1_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
EGR2_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
EGR2_MOUSE.H11MO.1.A	0.0	0.0	0.0	0.0	0.0
EGR3_MOUSE.H11MO.0.D	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3	1.4911559029205934e-3
EGR4_MOUSE.H11MO.0.D	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
EHF_MOUSE.H11MO.0.B	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
ELF1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
ELF2_MOUSE.H11MO.0.C	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
ELF3_MOUSE.H11MO.0.B	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
ELF5_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
ELK1_MOUSE.H11MO.0.B	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
ELK3_MOUSE.H11MO.0.D	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4
ELK4_MOUSE.H11MO.0.B	0.0	0.0	0.0	0.0	0.0
EPAS1_MOUSE.H11MO.0.C	8.021390374331583e-3	8.021390374331583e-3	8.021390374331583e-3	8.021390374331583e-3	8.021390374331583e-3
ERG_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
ERR1_MOUSE.H11MO.0.A	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3
ERR2_MOUSE.H11MO.0.A	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3
ERR3_MOUSE.H11MO.0.C	2.982311805841187e-3	2.982311805841187e-3	2.982311805841187e-3	2.982311805841187e-3	2.982311805841187e-3
ESR1_MOUSE.H11MO.0.A	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3
ESR1_MOUSE.H11MO.1.A	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4
ESR2_MOUSE.H11MO.0.A	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3
ESR2_MOUSE.H11MO.1.A	4.6277252159609983e-4	4.6277252159609983e-4	4.6277252159609983e-4	4.6277252159609983e-4	4.6277252159609983e-4
ETS1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
ETS2_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
ETV2_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
ETV4_MOUSE.H11MO.0.B	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
ETV5_MOUSE.H11MO.0.D	0.0	0.0	0.0	0.0	0.0
ETV6_MOUSE.H11MO.0.C	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
EVI1_MOUSE.H11MO.0.B	5.141916906622801e-3	5.141916906622801e-3	5.141916906622801e-3	5.141916906622801e-3	5.141916906622801e-3
EVX1_MOUSE.H11MO.0.C	9.923899629782018e-3	9.923899629782018e-3	9.923899629782018e-3	9.923899629782018e-3	9.923899629782018e-3
EVX2_MOUSE.H11MO.0.A	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3
FEV_MOUSE.H11MO.0.B	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
FLI1_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
FLI1_MOUSE.H11MO.1.A	0.0	0.0	0.0	0.0	0.0
FOS_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
FOSB_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
FOSL1_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
FOSL2_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
FOXA1_MOUSE.H11MO.0.A	7.095845331139494e-3	7.095845331139494e-3	7.095845331139494e-3	7.095845331139494e-3	7.095845331139494e-3
FOXA2_MOUSE.H11MO.0.A	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3
FOXA3_MOUSE.H11MO.0.A	5.758946935417564e-3	5.758946935417564e-3	5.758946935417564e-3	5.758946935417564e-3	5.758946935417564e-3
FOXC1_MOUSE.H11MO.0.C	9.20403126285474e-3	9.20403126285474e-3	9.20403126285474e-3	9.20403126285474e-3	9.20403126285474e-3
FOXC2_MOUSE.H11MO.0.D	9.255450431920997e-3	9.255450431920997e-3	9.255450431920997e-3	9.255450431920997e-3	9.255450431920997e-3
FOXD1_MOUSE.H11MO.0.D	7.918552036199067e-3	7.918552036199067e-3	7.918552036199067e-3	7.918552036199067e-3	7.918552036199067e-3
FOXD3_MOUSE.H11MO.0.C	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3
FOXF1_MOUSE.H11MO.0.D	8.07280954339773e-3	8.07280954339773e-3	8.07280954339773e-3	8.07280954339773e-3	8.07280954339773e-3
FOXF2_MOUSE.H11MO.0.D	8.53558206499383e-3	8.53558206499383e-3	8.53558206499383e-3	8.53558206499383e-3	8.53558206499383e-3
FOXI1_MOUSE.H11MO.0.B	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
FOXJ2_MOUSE.H11MO.0.C	5.090497737556543e-3	5.090497737556543e-3	5.090497737556543e-3	5.090497737556543e-3	5.090497737556543e-3
FOXJ3_MOUSE.H11MO.0.A	6.787330316742057e-3	6.787330316742057e-3	6.787330316742057e-3	6.787330316742057e-3	6.787330316742057e-3
FOXJ3_MOUSE.H11MO.1.B	7.095845331139494e-3	7.095845331139494e-3	7.095845331139494e-3	7.095845331139494e-3	7.095845331139494e-3
FOXK1_MOUSE.H11MO.0.A	4.93624023035788e-3	4.93624023035788e-3	4.93624023035788e-3	4.93624023035788e-3	4.93624023035788e-3
FOXL2_MOUSE.H11MO.0.C	7.40436034553682e-3	7.40436034553682e-3	7.40436034553682e-3	7.40436034553682e-3	7.40436034553682e-3
FOXM1_MOUSE.H11MO.0.B	3.9592760180995334e-3	3.9592760180995334e-3	3.9592760180995334e-3	3.9592760180995334e-3	3.9592760180995334e-3
FOXO1_MOUSE.H11MO.0.A	5.193336075689059e-3	5.193336075689059e-3	5.193336075689059e-3	5.193336075689059e-3	5.193336075689059e-3
FOXO3_MOUSE.H11MO.0.B	7.40436034553682e-3	7.40436034553682e-3	7.40436034553682e-3	7.40436034553682e-3	7.40436034553682e-3
FOXO4_MOUSE.H11MO.0.C	5.913204442616227e-3	5.913204442616227e-3	5.913204442616227e-3	5.913204442616227e-3	5.913204442616227e-3
FOXP2_MOUSE.H11MO.0.A	9.563965446318434e-3	9.563965446318434e-3	9.563965446318434e-3	9.563965446318434e-3	9.563965446318434e-3
FOXP3_MOUSE.H11MO.0.D	9.512546277252176e-3	9.512546277252176e-3	9.512546277252176e-3	9.512546277252176e-3	9.512546277252176e-3
FOXQ1_MOUSE.H11MO.0.C	1.773961332784857e-2	1.773961332784857e-2	1.773961332784857e-2	1.773961332784857e-2	1.773961332784857e-2
FUBP1_MOUSE.H11MO.0.D	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3	6.4273961332784735e-3
GABPA_MOUSE.H11MO.0.A	0.0	0.0	0.0	0.0	0.0
GATA1_MOUSE.H11MO.0.A	2.519539284245198e-3	2.519539284245198e-3	2.519539284245198e-3	2.519539284245198e-3	2.519539284245198e-3
GATA1_MOUSE.H11MO.1.A	2.93089263677504e-3	2.93089263677504e-3	2.93089263677504e-3	2.93089263677504e-3	2.93089263677504e-3
GATA2_MOUSE.H11MO.0.A	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3
GATA3_MOUSE.H11MO.0.A	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3
GATA4_MOUSE.H11MO.0.A	2.365281777046535e-3	2.365281777046535e-3	2.365281777046535e-3	2.365281777046535e-3	2.365281777046535e-3
GATA5_MOUSE.H11MO.0.D	6.993006993006978e-3	6.993006993006978e-3	6.993006993006978e-3	6.993006993006978e-3	6.993006993006978e-3
GATA6_MOUSE.H11MO.0.A	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3
GCM1_MOUSE.H11MO.0.D	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3	6.118881118881148e-3
GCR_MOUSE.H11MO.0.A	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3
GCR_MOUSE.H11MO.1.A	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3
GFI1_MOUSE.H11MO.0.C	3.7535993418346125e-3	3.7535993418346125e-3	3.7535993418346125e-3	3.7535993418346125e-3	3.7535993418346125e-3
GFI1B_MOUSE.H11MO.0.A	1.4397367338543354e-3	1.4397367338543354e-3	1.4397367338543354e-3	1.4397367338543354e-3	1.4397367338543354e-3
GLI1_MOUSE.H11MO.0.C	1.3883175647881885e-3	1.3883175647881885e-3	1.3883175647881885e-3	1.3883175647881885e-3	1.3883175647881885e-3
GLI2_MOUSE.H11MO.0.D	0.18058412176059235	0.18058412176059235	0.18058412176059235	0.18058412176059235	0.18058412176059235
GLI3_MOUSE.H11MO.0.D	8.741258741258306e-4	8.741258741258306e-4	8.741258741258306e-4	8.741258741258306e-4	8.741258741258306e-4
GLIS3_MOUSE.H11MO.0.D	5.39901275195398e-3	5.39901275195398e-3	5.39901275195398e-3	5.39901275195398e-3	5.39901275195398e-3
GRHL2_MOUSE.H11MO.0.A	3.9592760180995334e-3	3.9592760180995334e-3	3.9592760180995334e-3	3.9592760180995334e-3	3.9592760180995334e-3
HAND1_MOUSE.H11MO.0.C	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4
HAND1_MOUSE.H11MO.1.C	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
HBP1_MOUSE.H11MO.0.D	1.3626079802550373e-2	1.3626079802550373e-2	1.3626079802550373e-2	1.3626079802550373e-2	1.3626079802550373e-2
HEN1_MOUSE.H11MO.0.C	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4
HES1_MOUSE.H11MO.0.D	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3
HESX1_MOUSE.H11MO.0.D	4.576306046894296e-3	4.576306046894296e-3	4.576306046894296e-3	4.576306046894296e-3	4.576306046894296e-3
HEY2_MOUSE.H11MO.0.D	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4	2.570958453311789e-4
HIC1_MOUSE.H11MO.0.C	5.039078568490285e-3	5.039078568490285e-3	5.039078568490285e-3	5.039078568490285e-3	5.039078568490285e-3
HIF1A_MOUSE.H11MO.0.C	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3
HINFP_MOUSE.H11MO.0.C	6.170300287947295e-3	6.170300287947295e-3	6.170300287947295e-3	6.170300287947295e-3	6.170300287947295e-3
HLF_MOUSE.H11MO.0.C	8.175647881530246e-3	8.175647881530246e-3	8.175647881530246e-3	8.175647881530246e-3	8.175647881530246e-3
HLTF_MOUSE.H11MO.0.D	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3	2.159605100781614e-3
HMGA1_MOUSE.H11MO.0.D	1.1157959687371433e-2	1.1157959687371433e-2	1.1157959687371433e-2	1.1157959687371433e-2	1.1157959687371433e-2
HMGA2_MOUSE.H11MO.0.D	0.7343171534348005	0.7343171534348005	0.7343171534348005	0.7343171534348005	0.7343171534348005
HNF1A_MOUSE.H11MO.0.A	1.660839160839156e-2	1.660839160839156e-2	1.660839160839156e-2	1.660839160839156e-2	1.660839160839156e-2
HNF1B_MOUSE.H11MO.0.A	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3	4.164952694364454e-3
HNF1B_MOUSE.H11MO.1.A	1.5168654874537224e-2	1.5168654874537224e-2	1.5168654874537224e-2	1.5168654874537224e-2	1.5168654874537224e-2
HNF4A_MOUSE.H11MO.0.A	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3
HNF4G_MOUSE.H11MO.0.C	1.1312217194570096e-3	1.1312217194570096e-3	1.1312217194570096e-3	1.1312217194570096e-3	1.1312217194570096e-3
HNF6_MOUSE.H11MO.0.A	3.763883175647886e-2	3.763883175647886e-2	3.763883175647886e-2	3.763883175647886e-2	3.763883175647886e-2
HSF1_MOUSE.H11MO.0.A	6.684491978609097e-4	6.684491978609097e-4	6.684491978609097e-4	6.684491978609097e-4	6.684491978609097e-4
HSF1_MOUSE.H11MO.1.A	1.9539284245166932e-3	1.9539284245166932e-3	1.9539284245166932e-3	1.9539284245166932e-3	1.9539284245166932e-3
HSF2_MOUSE.H11MO.0.A	5.039078568490285e-3	5.039078568490285e-3	5.039078568490285e-3	5.039078568490285e-3	5.039078568490285e-3
HTF4_MOUSE.H11MO.0.A	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4
HXA10_MOUSE.H11MO.0.C	5.1522007404360304e-2	5.1522007404360304e-2	5.1522007404360304e-2	5.1522007404360304e-2	5.1522007404360304e-2
HXA13_MOUSE.H11MO.0.C	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3
HXA1_MOUSE.H11MO.0.C	5.913204442616227e-3	5.913204442616227e-3	5.913204442616227e-3	5.913204442616227e-3	5.913204442616227e-3
HXA5_MOUSE.H11MO.0.D	4.781982723159217e-3	4.781982723159217e-3	4.781982723159217e-3	4.781982723159217e-3	4.781982723159217e-3
HXA7_MOUSE.H11MO.0.D	1.9847799259563925e-2	1.9847799259563925e-2	1.9847799259563925e-2	1.9847799259563925e-2	1.9847799259563925e-2
HXA9_MOUSE.H11MO.0.B	1.033525298231186e-2	1.033525298231186e-2	1.033525298231186e-2	1.033525298231186e-2	1.033525298231186e-2
