	e7.5	e7.5	e7.5	e7.5	e7.5
AHR_MOUSE.H11MO.0.B	8.638420403126235e-3	8.638420403126235e-3	8.638420403126235e-3	8.638420403126235e-3	8.638420403126235e-3
AIRE_MOUSE.H11MO.0.C	7.455779514603078e-3	7.455779514603078e-3	7.455779514603078e-3	7.455779514603078e-3	7.455779514603078e-3
ALX1_MOUSE.H11MO.0.B	7.558617852735505e-2	7.558617852735505e-2	7.558617852735505e-2	7.558617852735505e-2	7.558617852735505e-2
ANDR_MOUSE.H11MO.0.A	2.776635129576266e-3	2.776635129576266e-3	2.776635129576266e-3	2.776635129576266e-3	2.776635129576266e-3
ANDR_MOUSE.H11MO.1.A	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3	1.0283833813246046e-3
AP2A_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
AP2B_MOUSE.H11MO.0.B	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4
AP2C_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
AP2D_MOUSE.H11MO.0.D	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4	1.0283833813240495e-4
ARI3A_MOUSE.H11MO.0.D	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3	3.3936651583710287e-3
ARI5B_MOUSE.H11MO.0.C	1.1929247223364858e-2	1.1929247223364858e-2	1.1929247223364858e-2	1.1929247223364858e-2	1.1929247223364858e-2
ARNT2_MOUSE.H11MO.0.D	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3	1.2340600575894145e-3
ARNT_MOUSE.H11MO.0.B	6.735911147675799e-3	6.735911147675799e-3	6.735911147675799e-3	6.735911147675799e-3	6.735911147675799e-3
ASCL1_MOUSE.H11MO.0.A	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4	3.5993418346358386e-4
ASCL2_MOUSE.H11MO.0.C	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4	5.656108597285048e-4
ATF1_MOUSE.H11MO.0.B	4.6277252159609983e-4	4.6277252159609983e-4	4.6277252159609983e-4	4.6277252159609983e-4	4.6277252159609983e-4
ATF2_MOUSE.H11MO.0.A	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4
ATF3_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
ATF4_MOUSE.H11MO.0.A	5.090497737556543e-3	5.090497737556543e-3	5.090497737556543e-3	5.090497737556543e-3	5.090497737556543e-3
ATF7_MOUSE.H11MO.0.D	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4	2.0567667626492092e-4
ATOH1_MOUSE.H11MO.0.B	1.1312217194570096e-3	1.1312217194570096e-3	1.1312217194570096e-3	1.1312217194570096e-3	1.1312217194570096e-3
BACH1_MOUSE.H11MO.0.C	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3	2.725215960510119e-3
BACH2_MOUSE.H11MO.0.A	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5	5.1419169066257986e-5
BARX1_MOUSE.H11MO.0.C	1.3060468942821868e-2	1.3060468942821868e-2	1.3060468942821868e-2	1.3060468942821868e-2	1.3060468942821868e-2
BARX2_MOUSE.H11MO.0.D	1.23406005758947e-2	1.23406005758947e-2	1.23406005758947e-2	1.23406005758947e-2	1.23406005758947e-2
BATF3_MOUSE.H11MO.0.A	1.7996709173180303e-3	1.7996709173180303e-3	1.7996709173180303e-3	1.7996709173180303e-3	1.7996709173180303e-3
