	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
BRCA1_MOUSE.H11MO.0.D	2.336451908603654e-4	2.336451908603654e-4	2.336451908603654e-4	2.336451908603654e-4	2.336451908603654e-4	2.336451908603654e-4
CDC5L_MOUSE.H11MO.0.D	9.080545504603382e-5	9.080545504603382e-5	9.080545504603382e-5	9.080545504603382e-5	9.080545504603382e-5	9.080545504603382e-5
CDX1_MOUSE.H11MO.0.C	1.2325016524731148e-4	1.2325016524731148e-4	1.2325016524731148e-4	1.2325016524731148e-4	1.2325016524731148e-4	1.2325016524731148e-4
CDX2_MOUSE.H11MO.0.A	2.58908327974639e-4	2.58908327974639e-4	2.58908327974639e-4	2.58908327974639e-4	2.58908327974639e-4	2.58908327974639e-4
CDX4_MOUSE.H11MO.0.A	1.413865087998429e-4	1.413865087998429e-4	1.413865087998429e-4	1.413865087998429e-4	1.413865087998429e-4	1.413865087998429e-4
CEBPA_MOUSE.H11MO.0.A	2.610904945132721e-4	2.610904945132721e-4	2.610904945132721e-4	2.610904945132721e-4	2.610904945132721e-4	2.610904945132721e-4
CEBPB_MOUSE.H11MO.0.A	2.494894221979315e-4	2.494894221979315e-4	2.494894221979315e-4	2.494894221979315e-4	2.494894221979315e-4	2.494894221979315e-4
CEBPD_MOUSE.H11MO.0.B	2.551251334683112e-4	2.551251334683112e-4	2.551251334683112e-4	2.551251334683112e-4	2.551251334683112e-4	2.551251334683112e-4
CEBPE_MOUSE.H11MO.0.A	1.2352009160247458e-4	1.2352009160247458e-4	1.2352009160247458e-4	1.2352009160247458e-4	1.2352009160247458e-4	1.2352009160247458e-4
CEBPG_MOUSE.H11MO.0.B	2.7133862323937925e-4	2.7133862323937925e-4	2.7133862323937925e-4	2.7133862323937925e-4	2.7133862323937925e-4	2.7133862323937925e-4
CEBPZ_MOUSE.H11MO.0.D	1.7514155105326375e-3	1.7514155105326375e-3	1.7514155105326375e-3	1.7514155105326375e-3	1.7514155105326375e-3	1.7514155105326375e-3
CLOCK_MOUSE.H11MO.0.C	4.5111975722698987e-4	4.5111975722698987e-4	4.5111975722698987e-4	4.5111975722698987e-4	4.5111975722698987e-4	4.5111975722698987e-4
COE1_MOUSE.H11MO.0.A	1.351048064714589e-3	1.351048064714589e-3	1.351048064714589e-3	1.351048064714589e-3	1.351048064714589e-3	1.351048064714589e-3
COT1_MOUSE.H11MO.0.B	6.661441405045572e-4	6.661441405045572e-4	6.661441405045572e-4	6.661441405045572e-4	6.661441405045572e-4	6.661441405045572e-4
COT1_MOUSE.H11MO.1.C	7.019181069925545e-4	7.019181069925545e-4	7.019181069925545e-4	7.019181069925545e-4	7.019181069925545e-4	7.019181069925545e-4
COT2_MOUSE.H11MO.0.A	8.71370369881107e-4	8.71370369881107e-4	8.71370369881107e-4	8.71370369881107e-4	8.71370369881107e-4	8.71370369881107e-4
COT2_MOUSE.H11MO.1.B	8.105271703570393e-4	8.105271703570393e-4	8.105271703570393e-4	8.105271703570393e-4	8.105271703570393e-4	8.105271703570393e-4
COT2_MOUSE.H11MO.2.B	1.0889505449231173e-3	1.0889505449231173e-3	1.0889505449231173e-3	1.0889505449231173e-3	1.0889505449231173e-3	1.0889505449231173e-3
CREB1_MOUSE.H11MO.0.A	9.388340581913926e-4	9.388340581913926e-4	9.388340581913926e-4	9.388340581913926e-4	9.388340581913926e-4	9.388340581913926e-4
CREM_MOUSE.H11MO.0.C	7.455329406603822e-4	7.455329406603822e-4	7.455329406603822e-4	7.455329406603822e-4	7.455329406603822e-4	7.455329406603822e-4
CRX_MOUSE.H11MO.0.A	2.6542966108189487e-4	2.6542966108189487e-4	2.6542966108189487e-4	2.6542966108189487e-4	2.6542966108189487e-4	2.6542966108189487e-4
CTCF_MOUSE.H11MO.0.A	6.034506279236386e-3	6.034506279236386e-3	6.034506279236386e-3	6.034506279236386e-3	6.034506279236386e-3	6.034506279236386e-3
CTCFL_MOUSE.H11MO.0.A	5.5392745772044e-3	5.5392745772044e-3	5.5392745772044e-3	5.5392745772044e-3	5.5392745772044e-3	5.5392745772044e-3
CUX1_MOUSE.H11MO.0.C	2.1365426184527455e-4	2.1365426184527455e-4	2.1365426184527455e-4	2.1365426184527455e-4	2.1365426184527455e-4	2.1365426184527455e-4
CUX2_MOUSE.H11MO.0.C	1.1435407300889244e-4	1.1435407300889244e-4	1.1435407300889244e-4	1.1435407300889244e-4	1.1435407300889244e-4	1.1435407300889244e-4
