	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
GRHL2_MOUSE.H11MO.0.A	5.950635638106494e-4	5.950635638106494e-4	5.950635638106494e-4	5.950635638106494e-4	5.950635638106494e-4	5.950635638106494e-4
HAND1_MOUSE.H11MO.0.C	9.210147596616649e-4	9.210147596616649e-4	9.210147596616649e-4	9.210147596616649e-4	9.210147596616649e-4	9.210147596616649e-4
HAND1_MOUSE.H11MO.1.C	1.7528709650260607e-3	1.7528709650260607e-3	1.7528709650260607e-3	1.7528709650260607e-3	1.7528709650260607e-3	1.7528709650260607e-3
HBP1_MOUSE.H11MO.0.D	2.0429622458513215e-4	2.0429622458513215e-4	2.0429622458513215e-4	2.0429622458513215e-4	2.0429622458513215e-4	2.0429622458513215e-4
HEN1_MOUSE.H11MO.0.C	1.2783207389260424e-3	1.2783207389260424e-3	1.2783207389260424e-3	1.2783207389260424e-3	1.2783207389260424e-3	1.2783207389260424e-3
HES1_MOUSE.H11MO.0.D	5.607103217414538e-4	5.607103217414538e-4	5.607103217414538e-4	5.607103217414538e-4	5.607103217414538e-4	5.607103217414538e-4
HESX1_MOUSE.H11MO.0.D	3.04871954668768e-4	3.04871954668768e-4	3.04871954668768e-4	3.04871954668768e-4	3.04871954668768e-4	3.04871954668768e-4
HEY2_MOUSE.H11MO.0.D	1.1390772268890584e-3	1.1390772268890584e-3	1.1390772268890584e-3	1.1390772268890584e-3	1.1390772268890584e-3	1.1390772268890584e-3
HIC1_MOUSE.H11MO.0.C	3.635054504984873e-4	3.635054504984873e-4	3.635054504984873e-4	3.635054504984873e-4	3.635054504984873e-4	3.635054504984873e-4
HIF1A_MOUSE.H11MO.0.C	2.971166034760369e-4	2.971166034760369e-4	2.971166034760369e-4	2.971166034760369e-4	2.971166034760369e-4	2.971166034760369e-4
HINFP_MOUSE.H11MO.0.C	1.5637666975483282e-4	1.5637666975483282e-4	1.5637666975483282e-4	1.5637666975483282e-4	1.5637666975483282e-4	1.5637666975483282e-4
HLF_MOUSE.H11MO.0.C	2.1700507756549985e-4	2.1700507756549985e-4	2.1700507756549985e-4	2.1700507756549985e-4	2.1700507756549985e-4	2.1700507756549985e-4
HLTF_MOUSE.H11MO.0.D	5.476046833304484e-4	5.476046833304484e-4	5.476046833304484e-4	5.476046833304484e-4	5.476046833304484e-4	5.476046833304484e-4
HMGA1_MOUSE.H11MO.0.D	1.9236115710911917e-4	1.9236115710911917e-4	1.9236115710911917e-4	1.9236115710911917e-4	1.9236115710911917e-4	1.9236115710911917e-4
HMGA2_MOUSE.H11MO.0.D	5.641817822801199e-5	5.641817822801199e-5	5.641817822801199e-5	5.641817822801199e-5	5.641817822801199e-5	5.641817822801199e-5
HNF1A_MOUSE.H11MO.0.A	1.7956865071244848e-4	1.7956865071244848e-4	1.7956865071244848e-4	1.7956865071244848e-4	1.7956865071244848e-4	1.7956865071244848e-4
HNF1B_MOUSE.H11MO.0.A	1.666140989683384e-4	1.666140989683384e-4	1.666140989683384e-4	1.666140989683384e-4	1.666140989683384e-4	1.666140989683384e-4
HNF1B_MOUSE.H11MO.1.A	2.180059142197168e-4	2.180059142197168e-4	2.180059142197168e-4	2.180059142197168e-4	2.180059142197168e-4	2.180059142197168e-4
HNF4A_MOUSE.H11MO.0.A	7.471362661865073e-4	7.471362661865073e-4	7.471362661865073e-4	7.471362661865073e-4	7.471362661865073e-4	7.471362661865073e-4
HNF4G_MOUSE.H11MO.0.C	6.903860766073776e-4	6.903860766073776e-4	6.903860766073776e-4	6.903860766073776e-4	6.903860766073776e-4	6.903860766073776e-4
HNF6_MOUSE.H11MO.0.A	8.875588706632218e-5	8.875588706632218e-5	8.875588706632218e-5	8.875588706632218e-5	8.875588706632218e-5	8.875588706632218e-5
HSF1_MOUSE.H11MO.0.A	5.021593133510529e-4	5.021593133510529e-4	5.021593133510529e-4	5.021593133510529e-4	5.021593133510529e-4	5.021593133510529e-4
HSF1_MOUSE.H11MO.1.A	4.6215103142570335e-4	4.6215103142570335e-4	4.6215103142570335e-4	4.6215103142570335e-4	4.6215103142570335e-4	4.6215103142570335e-4
HSF2_MOUSE.H11MO.0.A	2.3438456010577212e-4	2.3438456010577212e-4	2.3438456010577212e-4	2.3438456010577212e-4	2.3438456010577212e-4	2.3438456010577212e-4
HTF4_MOUSE.H11MO.0.A	1.221404666125526e-3	1.221404666125526e-3	1.221404666125526e-3	1.221404666125526e-3	1.221404666125526e-3	1.221404666125526e-3
HXA10_MOUSE.H11MO.0.C	1.1869571008687889e-4	1.1869571008687889e-4	1.1869571008687889e-4	1.1869571008687889e-4	1.1869571008687889e-4	1.1869571008687889e-4
HXA13_MOUSE.H11MO.0.C	3.6325920107728265e-4	3.6325920107728265e-4	3.6325920107728265e-4	3.6325920107728265e-4	3.6325920107728265e-4	3.6325920107728265e-4
HXA1_MOUSE.H11MO.0.C	2.82198356354177e-4	2.82198356354177e-4	2.82198356354177e-4	2.82198356354177e-4	2.82198356354177e-4	2.82198356354177e-4
HXA5_MOUSE.H11MO.0.D	7.472500664272729e-5	7.472500664272729e-5	7.472500664272729e-5	7.472500664272729e-5	7.472500664272729e-5	7.472500664272729e-5
HXA7_MOUSE.H11MO.0.D	1.878969957371306e-4	1.878969957371306e-4	1.878969957371306e-4	1.878969957371306e-4	1.878969957371306e-4	1.878969957371306e-4
HXA9_MOUSE.H11MO.0.B	1.8784435367024072e-4	1.8784435367024072e-4	1.8784435367024072e-4	1.8784435367024072e-4	1.8784435367024072e-4	1.8784435367024072e-4
HXB1_MOUSE.H11MO.0.D	1.5909790495882532e-4	1.5909790495882532e-4	1.5909790495882532e-4	1.5909790495882532e-4	1.5909790495882532e-4	1.5909790495882532e-4
HXB4_MOUSE.H11MO.0.A	1.6974009670028627e-4	1.6974009670028627e-4	1.6974009670028627e-4	1.6974009670028627e-4	1.6974009670028627e-4	1.6974009670028627e-4
HXB6_MOUSE.H11MO.0.D	1.424773220981897e-4	1.424773220981897e-4	1.424773220981897e-4	1.424773220981897e-4	1.424773220981897e-4	1.424773220981897e-4
HXB7_MOUSE.H11MO.0.C	1.508354279677353e-4	1.508354279677353e-4	1.508354279677353e-4	1.508354279677353e-4	1.508354279677353e-4	1.508354279677353e-4
HXB8_MOUSE.H11MO.0.C	6.887054750756329e-5	6.887054750756329e-5	6.887054750756329e-5	6.887054750756329e-5	6.887054750756329e-5	6.887054750756329e-5
HXC6_MOUSE.H11MO.0.D	5.5539610728590236e-5	5.5539610728590236e-5	5.5539610728590236e-5	5.5539610728590236e-5	5.5539610728590236e-5	5.5539610728590236e-5
HXC8_MOUSE.H11MO.0.D	1.1928551283504561e-4	1.1928551283504561e-4	1.1928551283504561e-4	1.1928551283504561e-4	1.1928551283504561e-4	1.1928551283504561e-4
HXD10_MOUSE.H11MO.0.D	1.8603747332205666e-4	1.8603747332205666e-4	1.8603747332205666e-4	1.8603747332205666e-4	1.8603747332205666e-4	1.8603747332205666e-4
HXD13_MOUSE.H11MO.0.D	2.908030828368155e-4	2.908030828368155e-4	2.908030828368155e-4	2.908030828368155e-4	2.908030828368155e-4	2.908030828368155e-4
HXD4_MOUSE.H11MO.0.D	1.437027402527076e-4	1.437027402527076e-4	1.437027402527076e-4	1.437027402527076e-4	1.437027402527076e-4	1.437027402527076e-4
HXD9_MOUSE.H11MO.0.D	2.000894840541541e-4	2.000894840541541e-4	2.000894840541541e-4	2.000894840541541e-4	2.000894840541541e-4	2.000894840541541e-4
IKZF1_MOUSE.H11MO.0.C	6.563523437995947e-4	6.563523437995947e-4	6.563523437995947e-4	6.563523437995947e-4	6.563523437995947e-4	6.563523437995947e-4
INSM1_MOUSE.H11MO.0.C	4.514619152651883e-4	4.514619152651883e-4	4.514619152651883e-4	4.514619152651883e-4	4.514619152651883e-4	4.514619152651883e-4
IRF1_MOUSE.H11MO.0.A	6.92312651479873e-4	6.92312651479873e-4	6.92312651479873e-4	6.92312651479873e-4	6.92312651479873e-4	6.92312651479873e-4
IRF2_MOUSE.H11MO.0.B	6.859036940642183e-4	6.859036940642183e-4	6.859036940642183e-4	6.859036940642183e-4	6.859036940642183e-4	6.859036940642183e-4
IRF3_MOUSE.H11MO.0.A	1.5951570818345355e-3	1.5951570818345355e-3	1.5951570818345355e-3	1.5951570818345355e-3	1.5951570818345355e-3	1.5951570818345355e-3
IRF4_MOUSE.H11MO.0.A	9.695376164967971e-4	9.695376164967971e-4	9.695376164967971e-4	9.695376164967971e-4	9.695376164967971e-4	9.695376164967971e-4
IRF5_MOUSE.H11MO.0.D	1.5283677269754616e-4	1.5283677269754616e-4	1.5283677269754616e-4	1.5283677269754616e-4	1.5283677269754616e-4	1.5283677269754616e-4
IRF7_MOUSE.H11MO.0.C	3.2095278938037134e-4	3.2095278938037134e-4	3.2095278938037134e-4	3.2095278938037134e-4	3.2095278938037134e-4	3.2095278938037134e-4
IRF8_MOUSE.H11MO.0.A	1.1625698315418874e-3	1.1625698315418874e-3	1.1625698315418874e-3	1.1625698315418874e-3	1.1625698315418874e-3	1.1625698315418874e-3
IRF9_MOUSE.H11MO.0.C	4.430551351326422e-5	4.430551351326422e-5	4.430551351326422e-5	4.430551351326422e-5	4.430551351326422e-5	4.430551351326422e-5
ISL1_MOUSE.H11MO.0.A	1.987052946036895e-4	1.987052946036895e-4	1.987052946036895e-4	1.987052946036895e-4	1.987052946036895e-4	1.987052946036895e-4
ITF2_MOUSE.H11MO.0.B	6.270439194894092e-4	6.270439194894092e-4	6.270439194894092e-4	6.270439194894092e-4	6.270439194894092e-4	6.270439194894092e-4
JUN_MOUSE.H11MO.0.A	1.4662247860258743e-3	1.4662247860258743e-3	1.4662247860258743e-3	1.4662247860258743e-3	1.4662247860258743e-3	1.4662247860258743e-3
JUNB_MOUSE.H11MO.0.A	1.483524728559624e-3	1.483524728559624e-3	1.483524728559624e-3	1.483524728559624e-3	1.483524728559624e-3	1.483524728559624e-3
JUND_MOUSE.H11MO.0.A	1.4496534747218438e-3	1.4496534747218438e-3	1.4496534747218438e-3	1.4496534747218438e-3	1.4496534747218438e-3	1.4496534747218438e-3
KAISO_MOUSE.H11MO.0.B	7.007841109212931e-4	7.007841109212931e-4	7.007841109212931e-4	7.007841109212931e-4	7.007841109212931e-4	7.007841109212931e-4
KAISO_MOUSE.H11MO.1.B	5.261120158539229e-4	5.261120158539229e-4	5.261120158539229e-4	5.261120158539229e-4	5.261120158539229e-4	5.261120158539229e-4
KAISO_MOUSE.H11MO.2.B	4.277611126583921e-4	4.277611126583921e-4	4.277611126583921e-4	4.277611126583921e-4	4.277611126583921e-4	4.277611126583921e-4
KLF15_MOUSE.H11MO.0.A	4.499629278227819e-3	4.499629278227819e-3	4.499629278227819e-3	4.499629278227819e-3	4.499629278227819e-3	4.499629278227819e-3
KLF1_MOUSE.H11MO.0.A	3.2079062966962743e-3	3.2079062966962743e-3	3.2079062966962743e-3	3.2079062966962743e-3	3.2079062966962743e-3	3.2079062966962743e-3
KLF3_MOUSE.H11MO.0.A	4.845017758016825e-3	4.845017758016825e-3	4.845017758016825e-3	4.845017758016825e-3	4.845017758016825e-3	4.845017758016825e-3
KLF4_MOUSE.H11MO.0.A	2.6281856313890867e-3	2.6281856313890867e-3	2.6281856313890867e-3	2.6281856313890867e-3	2.6281856313890867e-3	2.6281856313890867e-3
KLF5_MOUSE.H11MO.0.A	3.3266871311027845e-3	3.3266871311027845e-3	3.3266871311027845e-3	3.3266871311027845e-3	3.3266871311027845e-3	3.3266871311027845e-3
KLF6_MOUSE.H11MO.0.B	4.3478099849818645e-3	4.3478099849818645e-3	4.3478099849818645e-3	4.3478099849818645e-3	4.3478099849818645e-3	4.3478099849818645e-3
KLF8_MOUSE.H11MO.0.C	7.648795046166811e-4	7.648795046166811e-4	7.648795046166811e-4	7.648795046166811e-4	7.648795046166811e-4	7.648795046166811e-4
LEF1_MOUSE.H11MO.0.B	6.837172842791289e-4	6.837172842791289e-4	6.837172842791289e-4	6.837172842791289e-4	6.837172842791289e-4	6.837172842791289e-4
LHX2_MOUSE.H11MO.0.A	1.7478076098421523e-4	1.7478076098421523e-4	1.7478076098421523e-4	1.7478076098421523e-4	1.7478076098421523e-4	1.7478076098421523e-4
LHX3_MOUSE.H11MO.0.C	1.4465295586074157e-4	1.4465295586074157e-4	1.4465295586074157e-4	1.4465295586074157e-4	1.4465295586074157e-4	1.4465295586074157e-4
LHX6_MOUSE.H11MO.0.C	4.8388218931220213e-4	4.8388218931220213e-4	4.8388218931220213e-4	4.8388218931220213e-4	4.8388218931220213e-4	4.8388218931220213e-4
LYL1_MOUSE.H11MO.0.A	1.3544132052776075e-3	1.3544132052776075e-3	1.3544132052776075e-3	1.3544132052776075e-3	1.3544132052776075e-3	1.3544132052776075e-3
MAF_MOUSE.H11MO.0.A	5.950572777991285e-4	5.950572777991285e-4	5.950572777991285e-4	5.950572777991285e-4	5.950572777991285e-4	5.950572777991285e-4
MAF_MOUSE.H11MO.1.A	8.401935845431998e-4	8.401935845431998e-4	8.401935845431998e-4	8.401935845431998e-4	8.401935845431998e-4	8.401935845431998e-4
MAFA_MOUSE.H11MO.0.D	8.414905627738247e-4	8.414905627738247e-4	8.414905627738247e-4	8.414905627738247e-4	8.414905627738247e-4	8.414905627738247e-4
MAFB_MOUSE.H11MO.0.B	6.280301395024026e-4	6.280301395024026e-4	6.280301395024026e-4	6.280301395024026e-4	6.280301395024026e-4	6.280301395024026e-4
MAFF_MOUSE.H11MO.0.A	6.72892599482025e-4	6.72892599482025e-4	6.72892599482025e-4	6.72892599482025e-4	6.72892599482025e-4	6.72892599482025e-4
MAFF_MOUSE.H11MO.1.A	9.084687921999393e-4	9.084687921999393e-4	9.084687921999393e-4	9.084687921999393e-4	9.084687921999393e-4	9.084687921999393e-4
MAFG_MOUSE.H11MO.0.A	6.219709935099155e-4	6.219709935099155e-4	6.219709935099155e-4	6.219709935099155e-4	6.219709935099155e-4	6.219709935099155e-4
MAFG_MOUSE.H11MO.1.A	9.26533709522736e-4	9.26533709522736e-4	9.26533709522736e-4	9.26533709522736e-4	9.26533709522736e-4	9.26533709522736e-4
MAFK_MOUSE.H11MO.0.A	7.251024905450397e-4	7.251024905450397e-4	7.251024905450397e-4	7.251024905450397e-4	7.251024905450397e-4	7.251024905450397e-4
MAFK_MOUSE.H11MO.1.A	1.0546715335378347e-3	1.0546715335378347e-3	1.0546715335378347e-3	1.0546715335378347e-3	1.0546715335378347e-3	1.0546715335378347e-3
MAX_MOUSE.H11MO.0.A	4.10666407566475e-4	4.10666407566475e-4	4.10666407566475e-4	4.10666407566475e-4	4.10666407566475e-4	4.10666407566475e-4
MAZ_MOUSE.H11MO.0.A	5.029591055114301e-3	5.029591055114301e-3	5.029591055114301e-3	5.029591055114301e-3	5.029591055114301e-3	5.029591055114301e-3
MAZ_MOUSE.H11MO.1.A	3.100805568999382e-3	3.100805568999382e-3	3.100805568999382e-3	3.100805568999382e-3	3.100805568999382e-3	3.100805568999382e-3
MBD2_MOUSE.H11MO.0.B	9.962193343658174e-4	9.962193343658174e-4	9.962193343658174e-4	9.962193343658174e-4	9.962193343658174e-4	9.962193343658174e-4
MCR_MOUSE.H11MO.0.D	3.738462554359934e-4	3.738462554359934e-4	3.738462554359934e-4	3.738462554359934e-4	3.738462554359934e-4	3.738462554359934e-4
MECP2_MOUSE.H11MO.0.C	1.027741148829345e-3	1.027741148829345e-3	1.027741148829345e-3	1.027741148829345e-3	1.027741148829345e-3	1.027741148829345e-3
MEF2A_MOUSE.H11MO.0.A	2.4111324854002425e-4	2.4111324854002425e-4	2.4111324854002425e-4	2.4111324854002425e-4	2.4111324854002425e-4	2.4111324854002425e-4
MEF2C_MOUSE.H11MO.0.A	2.4993343760373936e-4	2.4993343760373936e-4	2.4993343760373936e-4	2.4993343760373936e-4	2.4993343760373936e-4	2.4993343760373936e-4
MEF2D_MOUSE.H11MO.0.A	2.4045565639659798e-4	2.4045565639659798e-4	2.4045565639659798e-4	2.4045565639659798e-4	2.4045565639659798e-4	2.4045565639659798e-4
MEIS1_MOUSE.H11MO.0.A	1.2499524539352498e-4	1.2499524539352498e-4	1.2499524539352498e-4	1.2499524539352498e-4	1.2499524539352498e-4	1.2499524539352498e-4
MEIS1_MOUSE.H11MO.1.A	6.201048746190987e-4	6.201048746190987e-4	6.201048746190987e-4	6.201048746190987e-4	6.201048746190987e-4	6.201048746190987e-4
MEIS2_MOUSE.H11MO.0.B	4.769111152162468e-4	4.769111152162468e-4	4.769111152162468e-4	4.769111152162468e-4	4.769111152162468e-4	4.769111152162468e-4
MITF_MOUSE.H11MO.0.A	7.166477631698584e-4	7.166477631698584e-4	7.166477631698584e-4	7.166477631698584e-4	7.166477631698584e-4	7.166477631698584e-4
MLXPL_MOUSE.H11MO.0.D	4.514876300077878e-4	4.514876300077878e-4	4.514876300077878e-4	4.514876300077878e-4	4.514876300077878e-4	4.514876300077878e-4
MSGN1_MOUSE.H11MO.0.C	5.208845741761993e-4	5.208845741761993e-4	5.208845741761993e-4	5.208845741761993e-4	5.208845741761993e-4	5.208845741761993e-4
MSX2_MOUSE.H11MO.0.D	1.3008972593996359e-4	1.3008972593996359e-4	1.3008972593996359e-4	1.3008972593996359e-4	1.3008972593996359e-4	1.3008972593996359e-4
MSX3_MOUSE.H11MO.0.D	1.259360474856308e-4	1.259360474856308e-4	1.259360474856308e-4	1.259360474856308e-4	1.259360474856308e-4	1.259360474856308e-4
MTF1_MOUSE.H11MO.0.C	4.4964278135849005e-4	4.4964278135849005e-4	4.4964278135849005e-4	4.4964278135849005e-4	4.4964278135849005e-4	4.4964278135849005e-4
MXI1_MOUSE.H11MO.0.A	6.12144788253159e-4	6.12144788253159e-4	6.12144788253159e-4	6.12144788253159e-4	6.12144788253159e-4	6.12144788253159e-4
MXI1_MOUSE.H11MO.1.A	2.483633207190849e-4	2.483633207190849e-4	2.483633207190849e-4	2.483633207190849e-4	2.483633207190849e-4	2.483633207190849e-4
MYB_MOUSE.H11MO.0.A	3.5095360586620306e-4	3.5095360586620306e-4	3.5095360586620306e-4	3.5095360586620306e-4	3.5095360586620306e-4	3.5095360586620306e-4
MYBA_MOUSE.H11MO.0.C	3.319535505937617e-4	3.319535505937617e-4	3.319535505937617e-4	3.319535505937617e-4	3.319535505937617e-4	3.319535505937617e-4
MYBB_MOUSE.H11MO.0.D	1.9641594610691676e-4	1.9641594610691676e-4	1.9641594610691676e-4	1.9641594610691676e-4	1.9641594610691676e-4	1.9641594610691676e-4
MYC_MOUSE.H11MO.0.A	5.587640521301479e-4	5.587640521301479e-4	5.587640521301479e-4	5.587640521301479e-4	5.587640521301479e-4	5.587640521301479e-4
MYCN_MOUSE.H11MO.0.A	5.153326479772189e-4	5.153326479772189e-4	5.153326479772189e-4	5.153326479772189e-4	5.153326479772189e-4	5.153326479772189e-4
MYF5_MOUSE.H11MO.0.D	9.101042017864645e-4	9.101042017864645e-4	9.101042017864645e-4	9.101042017864645e-4	9.101042017864645e-4	9.101042017864645e-4
MYF6_MOUSE.H11MO.0.C	1.8288628173730864e-3	1.8288628173730864e-3	1.8288628173730864e-3	1.8288628173730864e-3	1.8288628173730864e-3	1.8288628173730864e-3
MYOD1_MOUSE.H11MO.0.A	1.1429795300018546e-3	1.1429795300018546e-3	1.1429795300018546e-3	1.1429795300018546e-3	1.1429795300018546e-3	1.1429795300018546e-3
MYOD1_MOUSE.H11MO.1.A	1.0879779357273484e-3	1.0879779357273484e-3	1.0879779357273484e-3	1.0879779357273484e-3	1.0879779357273484e-3	1.0879779357273484e-3
MYOG_MOUSE.H11MO.0.A	1.1583465016388223e-3	1.1583465016388223e-3	1.1583465016388223e-3	1.1583465016388223e-3	1.1583465016388223e-3	1.1583465016388223e-3
NANOG_MOUSE.H11MO.0.A	3.2926842445117166e-4	3.2926842445117166e-4	3.2926842445117166e-4	3.2926842445117166e-4	3.2926842445117166e-4	3.2926842445117166e-4
NANOG_MOUSE.H11MO.1.A	2.7501928271852875e-4	2.7501928271852875e-4	2.7501928271852875e-4	2.7501928271852875e-4	2.7501928271852875e-4	2.7501928271852875e-4
NDF1_MOUSE.H11MO.0.A	6.490157289747243e-4	6.490157289747243e-4	6.490157289747243e-4	6.490157289747243e-4	6.490157289747243e-4	6.490157289747243e-4
NDF2_MOUSE.H11MO.0.A	7.502882030279082e-4	7.502882030279082e-4	7.502882030279082e-4	7.502882030279082e-4	7.502882030279082e-4	7.502882030279082e-4
NF2L1_MOUSE.H11MO.0.C	5.822941943846684e-4	5.822941943846684e-4	5.822941943846684e-4	5.822941943846684e-4	5.822941943846684e-4	5.822941943846684e-4
NF2L2_MOUSE.H11MO.0.A	8.212593586852643e-4	8.212593586852643e-4	8.212593586852643e-4	8.212593586852643e-4	8.212593586852643e-4	8.212593586852643e-4
NFAC1_MOUSE.H11MO.0.A	5.177345099139628e-4	5.177345099139628e-4	5.177345099139628e-4	5.177345099139628e-4	5.177345099139628e-4	5.177345099139628e-4
NFAC1_MOUSE.H11MO.1.A	4.5107787208309934e-4	4.5107787208309934e-4	4.5107787208309934e-4	4.5107787208309934e-4	4.5107787208309934e-4	4.5107787208309934e-4
NFAC2_MOUSE.H11MO.0.C	2.8603982533682946e-4	2.8603982533682946e-4	2.8603982533682946e-4	2.8603982533682946e-4	2.8603982533682946e-4	2.8603982533682946e-4
NFAC2_MOUSE.H11MO.1.C	4.84842201932276e-4	4.84842201932276e-4	4.84842201932276e-4	4.84842201932276e-4	4.84842201932276e-4	4.84842201932276e-4
NFAC3_MOUSE.H11MO.0.B	3.110296858145161e-4	3.110296858145161e-4	3.110296858145161e-4	3.110296858145161e-4	3.110296858145161e-4	3.110296858145161e-4
NFAC4_MOUSE.H11MO.0.C	2.963967105233683e-4	2.963967105233683e-4	2.963967105233683e-4	2.963967105233683e-4	2.963967105233683e-4	2.963967105233683e-4
NFAT5_MOUSE.H11MO.0.D	3.1303438307393077e-4	3.1303438307393077e-4	3.1303438307393077e-4	3.1303438307393077e-4	3.1303438307393077e-4	3.1303438307393077e-4
NFE2_MOUSE.H11MO.0.A	9.059053017472933e-4	9.059053017472933e-4	9.059053017472933e-4	9.059053017472933e-4	9.059053017472933e-4	9.059053017472933e-4
NFIA_MOUSE.H11MO.0.C	6.511967183665457e-4	6.511967183665457e-4	6.511967183665457e-4	6.511967183665457e-4	6.511967183665457e-4	6.511967183665457e-4
NFIA_MOUSE.H11MO.1.D	4.6034360785183125e-4	4.6034360785183125e-4	4.6034360785183125e-4	4.6034360785183125e-4	4.6034360785183125e-4	4.6034360785183125e-4
NFIB_MOUSE.H11MO.0.C	7.511973623099837e-4	7.511973623099837e-4	7.511973623099837e-4	7.511973623099837e-4	7.511973623099837e-4	7.511973623099837e-4
NFIC_MOUSE.H11MO.0.A	4.4256969342524883e-4	4.4256969342524883e-4	4.4256969342524883e-4	4.4256969342524883e-4	4.4256969342524883e-4	4.4256969342524883e-4
NFIC_MOUSE.H11MO.1.A	9.283458413734068e-4	9.283458413734068e-4	9.283458413734068e-4	9.283458413734068e-4	9.283458413734068e-4	9.283458413734068e-4
NFIL3_MOUSE.H11MO.0.C	1.873177805335348e-4	1.873177805335348e-4	1.873177805335348e-4	1.873177805335348e-4	1.873177805335348e-4	1.873177805335348e-4
NFKB1_MOUSE.H11MO.0.A	4.2084426335188806e-4	4.2084426335188806e-4	4.2084426335188806e-4	4.2084426335188806e-4	4.2084426335188806e-4	4.2084426335188806e-4
NFKB2_MOUSE.H11MO.0.C	4.2520057936123513e-4	4.2520057936123513e-4	4.2520057936123513e-4	4.2520057936123513e-4	4.2520057936123513e-4	4.2520057936123513e-4
NFYA_MOUSE.H11MO.0.A	2.1865867915132394e-3	2.1865867915132394e-3	2.1865867915132394e-3	2.1865867915132394e-3	2.1865867915132394e-3	2.1865867915132394e-3
NFYB_MOUSE.H11MO.0.A	2.207081590234181e-3	2.207081590234181e-3	2.207081590234181e-3	2.207081590234181e-3	2.207081590234181e-3	2.207081590234181e-3
NFYC_MOUSE.H11MO.0.B	2.1749543475248355e-3	2.1749543475248355e-3	2.1749543475248355e-3	2.1749543475248355e-3	2.1749543475248355e-3	2.1749543475248355e-3
NGN2_MOUSE.H11MO.0.C	7.544709434438654e-4	7.544709434438654e-4	7.544709434438654e-4	7.544709434438654e-4	7.544709434438654e-4	7.544709434438654e-4
NKX21_MOUSE.H11MO.0.A	3.6776801909487947e-4	3.6776801909487947e-4	3.6776801909487947e-4	3.6776801909487947e-4	3.6776801909487947e-4	3.6776801909487947e-4
NKX22_MOUSE.H11MO.0.A	4.97182682168948e-4	4.97182682168948e-4	4.97182682168948e-4	4.97182682168948e-4	4.97182682168948e-4	4.97182682168948e-4
NKX25_MOUSE.H11MO.0.A	3.699983754832873e-4	3.699983754832873e-4	3.699983754832873e-4	3.699983754832873e-4	3.699983754832873e-4	3.699983754832873e-4
NKX28_MOUSE.H11MO.0.C	5.116771218206975e-4	5.116771218206975e-4	5.116771218206975e-4	5.116771218206975e-4	5.116771218206975e-4	5.116771218206975e-4
NKX31_MOUSE.H11MO.0.C	2.0648041244819473e-4	2.0648041244819473e-4	2.0648041244819473e-4	2.0648041244819473e-4	2.0648041244819473e-4	2.0648041244819473e-4
NKX32_MOUSE.H11MO.0.B	1.2013136823059793e-4	1.2013136823059793e-4	1.2013136823059793e-4	1.2013136823059793e-4	1.2013136823059793e-4	1.2013136823059793e-4
NKX61_MOUSE.H11MO.0.A	2.1419570024954686e-4	2.1419570024954686e-4	2.1419570024954686e-4	2.1419570024954686e-4	2.1419570024954686e-4	2.1419570024954686e-4
NKX61_MOUSE.H11MO.1.A	1.1729173416952984e-4	1.1729173416952984e-4	1.1729173416952984e-4	1.1729173416952984e-4	1.1729173416952984e-4	1.1729173416952984e-4
NOBOX_MOUSE.H11MO.0.C	1.8184756438655283e-4	1.8184756438655283e-4	1.8184756438655283e-4	1.8184756438655283e-4	1.8184756438655283e-4	1.8184756438655283e-4
NR0B1_MOUSE.H11MO.0.D	4.889316576030969e-4	4.889316576030969e-4	4.889316576030969e-4	4.889316576030969e-4	4.889316576030969e-4	4.889316576030969e-4
NR1D1_MOUSE.H11MO.0.A	1.1039830182496813e-3	1.1039830182496813e-3	1.1039830182496813e-3	1.1039830182496813e-3	1.1039830182496813e-3	1.1039830182496813e-3
NR1D1_MOUSE.H11MO.1.C	3.9733721403676834e-4	3.9733721403676834e-4	3.9733721403676834e-4	3.9733721403676834e-4	3.9733721403676834e-4	3.9733721403676834e-4
NR1D2_MOUSE.H11MO.0.A	1.1514230377054433e-3	1.1514230377054433e-3	1.1514230377054433e-3	1.1514230377054433e-3	1.1514230377054433e-3	1.1514230377054433e-3
NR1H2_MOUSE.H11MO.0.D	1.5836960148020744e-4	1.5836960148020744e-4	1.5836960148020744e-4	1.5836960148020744e-4	1.5836960148020744e-4	1.5836960148020744e-4
NR1H3_MOUSE.H11MO.0.A	1.1044109136266376e-3	1.1044109136266376e-3	1.1044109136266376e-3	1.1044109136266376e-3	1.1044109136266376e-3	1.1044109136266376e-3
NR1H3_MOUSE.H11MO.1.A	7.995320873743965e-4	7.995320873743965e-4	7.995320873743965e-4	7.995320873743965e-4	7.995320873743965e-4	7.995320873743965e-4
NR1H3_MOUSE.H11MO.2.A	6.265302723248573e-4	6.265302723248573e-4	6.265302723248573e-4	6.265302723248573e-4	6.265302723248573e-4	6.265302723248573e-4
NR1H4_MOUSE.H11MO.0.A	1.139288298061688e-3	1.139288298061688e-3	1.139288298061688e-3	1.139288298061688e-3	1.139288298061688e-3	1.139288298061688e-3
NR1H4_MOUSE.H11MO.1.A	5.696729294076526e-4	5.696729294076526e-4	5.696729294076526e-4	5.696729294076526e-4	5.696729294076526e-4	5.696729294076526e-4
