	e9.5	e9.5	e9.5	e9.5	e9.5
AHR_MOUSE.H11MO.0.B	1.223556120443454e-4	1.223556120443454e-4	1.223556120443454e-4	1.223556120443454e-4	1.223556120443454e-4
AIRE_MOUSE.H11MO.0.C	1.8028570270616273e-4	1.8028570270616273e-4	1.8028570270616273e-4	1.8028570270616273e-4	1.8028570270616273e-4
ALX1_MOUSE.H11MO.0.B	1.8094888043149749e-4	1.8094888043149749e-4	1.8094888043149749e-4	1.8094888043149749e-4	1.8094888043149749e-4
ANDR_MOUSE.H11MO.0.A	5.16409055769658e-4	5.16409055769658e-4	5.16409055769658e-4	5.16409055769658e-4	5.16409055769658e-4
ANDR_MOUSE.H11MO.1.A	8.129826784114499e-4	8.129826784114499e-4	8.129826784114499e-4	8.129826784114499e-4	8.129826784114499e-4
AP2A_MOUSE.H11MO.0.A	2.473566234005266e-3	2.473566234005266e-3	2.473566234005266e-3	2.473566234005266e-3	2.473566234005266e-3
AP2B_MOUSE.H11MO.0.B	1.277964604272472e-3	1.277964604272472e-3	1.277964604272472e-3	1.277964604272472e-3	1.277964604272472e-3
AP2C_MOUSE.H11MO.0.A	2.788193424349503e-3	2.788193424349503e-3	2.788193424349503e-3	2.788193424349503e-3	2.788193424349503e-3
AP2D_MOUSE.H11MO.0.D	1.3269179343409505e-3	1.3269179343409505e-3	1.3269179343409505e-3	1.3269179343409505e-3	1.3269179343409505e-3
ARI3A_MOUSE.H11MO.0.D	2.8946473907044495e-4	2.8946473907044495e-4	2.8946473907044495e-4	2.8946473907044495e-4	2.8946473907044495e-4
ARI5B_MOUSE.H11MO.0.C	1.8280601952272866e-4	1.8280601952272866e-4	1.8280601952272866e-4	1.8280601952272866e-4	1.8280601952272866e-4
ARNT2_MOUSE.H11MO.0.D	4.894649209163993e-4	4.894649209163993e-4	4.894649209163993e-4	4.894649209163993e-4	4.894649209163993e-4
ARNT_MOUSE.H11MO.0.B	1.7492727715697366e-4	1.7492727715697366e-4	1.7492727715697366e-4	1.7492727715697366e-4	1.7492727715697366e-4
ASCL1_MOUSE.H11MO.0.A	1.3721371742554962e-3	1.3721371742554962e-3	1.3721371742554962e-3	1.3721371742554962e-3	1.3721371742554962e-3
ASCL2_MOUSE.H11MO.0.C	1.3263741997051144e-3	1.3263741997051144e-3	1.3263741997051144e-3	1.3263741997051144e-3	1.3263741997051144e-3
ATF1_MOUSE.H11MO.0.B	5.206131771649076e-4	5.206131771649076e-4	5.206131771649076e-4	5.206131771649076e-4	5.206131771649076e-4
ATF2_MOUSE.H11MO.0.A	9.158579868534138e-4	9.158579868534138e-4	9.158579868534138e-4	9.158579868534138e-4	9.158579868534138e-4
ATF3_MOUSE.H11MO.0.A	1.1948899363216378e-3	1.1948899363216378e-3	1.1948899363216378e-3	1.1948899363216378e-3	1.1948899363216378e-3
ATF4_MOUSE.H11MO.0.A	2.446166568132123e-4	2.446166568132123e-4	2.446166568132123e-4	2.446166568132123e-4	2.446166568132123e-4
ATF7_MOUSE.H11MO.0.D	8.929548026248865e-4	8.929548026248865e-4	8.929548026248865e-4	8.929548026248865e-4	8.929548026248865e-4
ATOH1_MOUSE.H11MO.0.B	8.880632696774242e-4	8.880632696774242e-4	8.880632696774242e-4	8.880632696774242e-4	8.880632696774242e-4
BACH1_MOUSE.H11MO.0.C	3.501869072216616e-4	3.501869072216616e-4	3.501869072216616e-4	3.501869072216616e-4	3.501869072216616e-4
